CustomerID,Age,Annual_Income_K,Spending_Score,Purchase_Frequency,Avg_Order_Value,Tenure_Years,Returns_Count,Loyalty_Points,Region,Gender,CLV_Score,Return_Rate,Engagement_Score,Segment,Segment_Label
CUST1114,52,110,88,34,340.42,2.4,3,3722,North,Female,329.12,0.0879765395894428,86.44,0,Budget Shoppers
CUST1115,52,109,78,29,65.86,3.0,2,3551,South,Female,246.558,0.06872852233676975,86.02,0,Budget Shoppers
CUST1116,50,38,32,4,319.45,2.1,1,4105,East,Female,4.864,0.24390243902439027,92.6,2,At-Risk
CUST1117,22,58,46,17,236.85,3.6,7,2773,West,Female,45.356,0.4093567251461988,73.46000000000001,2,At-Risk
CUST1118,59,145,16,35,301.57,7.7,6,2552,West,Male,81.2,0.17094017094017094,89.53999999999999,1,High Value
CUST1119,56,145,68,13,100.65,5.4,8,2832,North,Female,128.18,0.6106870229007634,83.64,2,At-Risk
CUST1120,58,77,37,41,373.7,2.4,1,3907,East,Female,116.809,0.024330900243309,90.14,1,High Value
CUST1121,45,80,54,39,434.14,8.8,3,152,South,Female,168.48,0.07672634271099744,47.04,1,High Value
CUST1122,24,146,85,15,124.04,8.9,5,2964,North,Female,186.15,0.33112582781456956,103.78,0,Budget Shoppers
CUST1123,26,124,14,29,65.94,8.8,2,2916,East,Female,50.344,0.06872852233676975,102.32,1,High Value
CUST1124,25,20,95,29,31.35,2.8,7,2800,East,Female,55.1,0.24054982817869414,70.0,2,At-Risk
CUST1125,29,111,55,11,328.15,4.8,2,1752,East,Female,67.155,0.1801801801801802,59.04,2,At-Risk
CUST1126,51,132,48,32,311.41,9.9,1,2610,South,Male,202.752,0.03115264797507788,101.7,0,Budget Shoppers
CUST1127,50,75,82,2,282.41,7.8,2,3875,South,Female,12.3,0.9523809523809523,116.5,2,At-Risk
CUST1128,65,136,7,47,131.33,0.8,5,1104,West,Female,44.744,0.10615711252653927,26.08,1,High Value
CUST1129,40,77,74,14,207.63,1.1,1,2536,West,Female,79.772,0.07092198581560284,56.22,2,At-Risk
CUST1130,41,63,7,20,305.35,4.9,7,4990,East,Female,8.82,0.34825870646766166,124.3,1,High Value
CUST1131,54,80,33,22,258.45,9.1,0,4199,East,Male,58.08,0.0,129.48000000000002,1,High Value
CUST1132,52,66,23,11,494.14,5.6,6,3854,South,Male,16.698,0.5405405405405406,105.08,2,At-Risk
CUST1133,61,99,85,27,85.49,5.2,1,3494,West,Male,227.205,0.03690036900369004,95.88,0,Budget Shoppers
CUST1134,57,137,19,3,353.67,1.5,9,1914,East,Male,7.809,2.903225806451613,45.78,3,Loyal Mid-Tier
CUST1135,39,39,19,17,214.07,6.7,5,3072,West,Male,12.597,0.29239766081871343,94.94,2,At-Risk
CUST1136,44,66,36,44,225.54,8.3,1,1006,West,Male,104.544,0.022675736961451247,61.620000000000005,1,High Value
CUST1137,52,68,29,28,364.45,4.1,1,406,East,Female,55.216,0.03558718861209964,28.619999999999997,1,High Value
CUST1138,18,33,60,29,352.37,7.9,9,166,South,Male,57.42,0.30927835051546393,42.82,2,At-Risk
CUST1139,52,20,82,21,495.8,9.7,7,508,East,Male,34.44,0.33175355450236965,58.66,2,At-Risk
CUST1140,54,136,2,47,81.63,2.4,1,1661,East,Female,12.784,0.021231422505307854,45.22,1,High Value
CUST1141,64,73,1,16,69.97,5.5,6,3664,West,Male,1.168,0.37267080745341613,100.78,1,High Value
CUST1142,31,137,47,37,367.68,3.2,2,3489,East,Female,238.243,0.053908355795148244,85.78,0,Budget Shoppers
CUST1143,20,22,69,20,297.63,8.0,7,4858,South,Female,30.36,0.34825870646766166,137.16,2,At-Risk
CUST1144,18,31,20,6,151.6,6.0,6,680,East,Male,3.72,0.9836065573770493,43.6,2,At-Risk
CUST1145,22,93,11,19,58.12,6.5,7,2524,South,Female,19.437,0.36649214659685864,82.97999999999999,2,At-Risk
CUST1146,43,35,2,5,61.12,8.1,6,2120,South,Male,0.35,1.1764705882352942,82.9,2,At-Risk
CUST1147,31,121,67,3,449.21,4.3,5,4677,West,Male,24.321,1.6129032258064515,115.04,2,At-Risk
CUST1148,56,136,87,1,112.1,9.2,6,4357,North,Female,11.832,5.454545454545454,133.14,3,Loyal Mid-Tier
CUST1149,44,27,12,38,175.22,5.6,4,1363,North,Female,12.312,0.10498687664041995,55.260000000000005,1,High Value
CUST1150,26,141,20,15,128.8,2.0,6,1331,West,Male,42.3,0.3973509933774835,36.620000000000005,2,At-Risk
CUST1151,32,111,5,34,190.4,7.1,0,2292,East,Female,18.87,0.0,81.34,1,High Value
CUST1152,32,109,37,35,53.32,8.0,0,1538,West,Female,141.155,0.0,70.76,1,High Value
CUST1153,43,79,38,49,269.15,3.5,8,3408,South,Male,147.098,0.1629327902240326,85.66,1,High Value
CUST1154,59,47,94,25,52.45,8.6,4,560,North,Male,110.45,0.1593625498007968,54.2,2,At-Risk
CUST1155,30,120,9,24,404.17,9.1,4,1099,West,Female,25.92,0.16597510373443983,67.48,1,High Value
CUST1156,68,60,98,12,132.18,3.1,2,1903,East,Male,70.56,0.1652892561983471,53.56,2,At-Risk
CUST1157,49,65,53,18,279.21,9.8,4,174,West,Male,62.01,0.22099447513812154,52.48,2,At-Risk
CUST1158,56,54,44,15,442.44,1.8,2,2156,North,Male,35.64,0.13245033112582782,52.12,2,At-Risk
CUST1159,66,101,99,44,332.42,2.4,8,2230,West,Male,439.956,0.18140589569160998,56.6,0,Budget Shoppers
CUST1160,69,134,86,16,275.82,2.3,8,4287,West,Male,184.384,0.49689440993788814,97.24,0,Budget Shoppers
CUST1161,49,66,24,27,175.68,9.0,5,4160,North,Male,42.768,0.18450184501845018,128.2,1,High Value
CUST1162,21,29,81,8,179.84,6.7,0,3920,South,Male,18.792,0.0,111.9,2,At-Risk
CUST1163,47,75,74,46,341.35,1.9,6,1497,South,Female,255.3,0.1301518438177874,39.44,0,Budget Shoppers
CUST1164,54,49,30,25,497.19,4.7,6,3854,North,Male,36.75,0.2390438247011952,100.58,1,High Value
CUST1165,40,128,59,17,337.68,6.3,9,3171,West,Female,128.384,0.5263157894736842,94.92,2,At-Risk
CUST1166,56,24,87,29,287.74,1.3,9,1567,North,Female,60.552,0.30927835051546393,37.84,2,At-Risk
CUST1167,62,138,96,8,370.71,8.9,3,1151,South,Female,105.984,0.3703703703703704,67.52,2,At-Risk
CUST1168,32,52,81,15,243.3,8.1,7,368,East,Male,63.18,0.4635761589403974,47.86,2,At-Risk
CUST1169,60,137,81,27,48.87,5.3,5,4946,West,Male,299.619,0.18450184501845018,125.42,0,Budget Shoppers
CUST1170,46,84,14,46,289.9,9.7,3,42,South,Female,54.096,0.0650759219088937,49.34,1,High Value
CUST1171,53,30,9,50,479.66,4.5,3,1907,West,Male,13.5,0.059880239520958084,60.64,1,High Value
CUST1172,30,104,40,7,104.15,9.8,1,3490,North,Female,29.12,0.14084507042253522,118.8,2,At-Risk
CUST1173,49,45,66,3,351.2,6.8,1,2535,East,Male,8.91,0.3225806451612903,84.7,2,At-Risk
CUST1174,24,82,25,29,116.45,6.5,3,4173,North,Male,59.45,0.10309278350515463,115.96,1,High Value
CUST1175,68,105,73,44,277.2,2.1,4,2873,East,Female,337.26,0.09070294784580499,67.96000000000001,0,Budget Shoppers
CUST1176,39,78,22,24,66.4,8.9,7,1824,West,Female,41.184,0.2904564315352697,80.97999999999999,1,High Value
CUST1177,45,46,4,3,236.18,4.6,5,1293,West,Female,0.552,1.6129032258064515,48.86,2,At-Risk
CUST1178,19,117,26,20,382.96,2.0,3,4769,North,Male,60.84,0.14925373134328357,105.38,2,At-Risk
CUST1179,59,124,58,46,186.83,0.6,6,4796,East,Female,330.832,0.1301518438177874,98.92,0,Budget Shoppers
CUST1180,62,118,29,15,339.16,5.8,7,4854,East,Male,51.33,0.4635761589403974,126.08,2,At-Risk
CUST1181,23,148,98,25,401.82,5.5,1,3386,West,Male,362.6,0.0398406374501992,95.22,0,Budget Shoppers
CUST1182,45,74,87,30,465.05,7.3,6,2972,North,Male,193.14,0.19933554817275748,95.94,0,Budget Shoppers
CUST1183,45,25,37,14,132.63,9.0,1,3922,East,Female,12.95,0.07092198581560284,123.44,2,At-Risk
CUST1184,61,114,75,7,211.67,1.3,1,4997,West,Female,59.85,0.14084507042253522,106.44,2,At-Risk
CUST1185,61,121,70,17,93.16,7.4,7,992,South,Female,143.99,0.4093567251461988,56.84,2,At-Risk
CUST1186,37,22,18,44,496.39,2.3,1,2386,North,Male,17.424,0.022675736961451247,59.22,1,High Value
CUST1187,47,42,85,20,464.96,8.7,8,2240,South,Male,71.4,0.3980099502487562,88.3,2,At-Risk
CUST1188,28,72,42,36,279.18,8.3,0,1476,North,Female,108.864,0.0,71.02,1,High Value
CUST1189,45,102,41,9,424.18,5.6,8,3407,West,Male,37.638,0.8791208791208791,96.14,2,At-Risk
CUST1190,42,104,38,38,270.06,7.2,0,389,East,Male,150.176,0.0,43.78,1,High Value
CUST1191,56,97,34,48,319.32,3.5,9,999,East,Female,158.304,0.1871101871101871,37.480000000000004,1,High Value
CUST1192,50,129,17,22,62.78,5.0,9,4620,East,Female,48.246,0.4072398190045249,117.4,1,High Value
CUST1193,18,20,37,2,382.53,8.3,1,1855,North,Female,1.48,0.47619047619047616,78.6,2,At-Risk
CUST1194,44,70,25,24,81.3,4.9,5,658,West,Male,42.0,0.20746887966804978,37.66,1,High Value
CUST1195,69,23,76,8,416.51,3.9,5,2763,South,Male,13.984,0.617283950617284,74.75999999999999,2,At-Risk
CUST1196,30,132,87,11,395.37,5.2,0,3663,West,Male,126.324,0.0,99.26,0,Budget Shoppers
CUST1197,58,51,86,13,360.2,8.4,6,4986,South,Male,57.018,0.4580152671755725,141.72,2,At-Risk
CUST1198,20,53,85,17,37.36,3.7,7,1481,North,Male,76.585,0.4093567251461988,48.120000000000005,2,At-Risk
CUST1199,56,111,27,8,165.5,2.2,1,3731,North,Female,23.976,0.1234567901234568,85.62,2,At-Risk
CUST1200,23,114,57,21,146.29,7.3,7,451,South,Male,136.458,0.33175355450236965,45.519999999999996,2,At-Risk
CUST1201,25,91,31,18,192.87,8.3,8,2475,South,Male,50.778,0.4419889502762431,91.0,2,At-Risk
CUST1202,44,58,6,30,62.07,1.5,5,3222,South,Male,10.44,0.16611295681063123,71.94,1,High Value
CUST1203,26,137,91,18,469.74,2.8,4,1537,West,Female,224.406,0.22099447513812154,44.739999999999995,0,Budget Shoppers
CUST1204,54,22,40,46,285.83,1.8,8,3093,South,Female,40.48,0.1735357917570499,70.86,1,High Value
CUST1205,50,142,98,47,166.65,3.8,8,882,North,Female,654.052,0.16985138004246284,36.64,0,Budget Shoppers
CUST1206,68,69,12,31,210.55,4.8,0,4408,North,Male,25.668,0.0,112.16,1,High Value
CUST1207,59,31,53,38,234.66,7.6,2,4068,East,Female,62.434,0.05249343832020997,119.36,1,High Value
CUST1208,61,73,71,32,308.29,6.7,8,4935,South,Female,165.856,0.24922118380062305,132.2,0,Budget Shoppers
CUST1209,41,76,10,11,267.53,6.4,1,2566,West,Female,8.36,0.0900900900900901,83.32,2,At-Risk
CUST1210,32,131,45,45,461.31,3.8,3,3277,West,Male,265.275,0.06651884700665188,84.54,0,Budget Shoppers
CUST1211,49,66,17,25,258.54,8.5,3,374,West,Female,28.05,0.1195219123505976,49.980000000000004,1,High Value
CUST1212,49,104,26,33,496.24,5.0,1,4546,East,Male,89.232,0.030211480362537763,115.92,1,High Value
CUST1213,41,85,85,38,428.68,9.8,2,3697,North,Male,274.55,0.05249343832020997,122.94,0,Budget Shoppers
CUST1214,58,94,92,41,120.09,6.5,2,3062,West,Female,354.568,0.048661800486618,93.74000000000001,0,Budget Shoppers
CUST1215,69,122,62,8,466.69,1.7,0,4690,North,Male,60.512,0.0,102.3,2,At-Risk
CUST1216,66,57,46,11,75.86,6.9,5,3250,East,Female,28.842,0.45045045045045046,99.5,2,At-Risk
CUST1217,66,69,64,22,412.38,3.6,7,4595,South,Male,97.152,0.3167420814479638,109.9,2,At-Risk
CUST1218,69,117,2,51,202.7,7.0,2,4559,South,Female,11.934,0.03913894324853229,126.18,1,High Value
CUST1219,29,101,54,24,441.43,1.2,4,112,South,Female,130.896,0.16597510373443983,8.24,2,At-Risk
CUST1220,56,49,65,41,436.67,2.2,0,3197,West,Female,130.585,0.0,74.94,1,High Value
CUST1221,19,98,51,17,406.84,8.6,9,2378,South,Male,84.966,0.5263157894736842,90.56,2,At-Risk
CUST1222,20,110,53,12,399.21,2.7,6,1924,West,Female,69.96,0.49586776859504134,51.98,2,At-Risk
CUST1223,66,71,36,46,166.25,8.5,9,139,East,Male,117.576,0.19522776572668113,45.28,1,High Value
CUST1224,54,98,26,32,58.84,3.2,0,1424,East,Female,81.536,0.0,44.480000000000004,1,High Value
CUST1225,66,49,29,15,213.43,6.6,8,2949,West,Male,21.315,0.5298013245033113,91.97999999999999,2,At-Risk
CUST1226,34,125,21,16,103.29,7.1,7,3168,North,Male,42.0,0.43478260869565216,98.86,2,At-Risk
CUST1227,66,70,11,22,353.58,5.4,6,516,South,Female,16.94,0.27149321266968324,37.32,1,High Value
CUST1228,19,100,40,28,186.13,3.4,9,2616,South,Female,112.0,0.32028469750889677,69.32,1,High Value
CUST1229,19,48,11,20,488.29,2.5,6,887,South,Female,10.56,0.29850746268656714,30.24,2,At-Risk
CUST1230,45,93,36,33,327.67,0.8,4,3104,West,Female,110.484,0.12084592145015105,66.08,1,High Value
CUST1231,40,36,59,10,414.79,3.4,4,49,East,Female,21.24,0.39603960396039606,17.98,2,At-Risk
CUST1232,54,103,39,40,83.61,6.7,4,3951,South,Male,160.68,0.0997506234413965,112.52,1,High Value
CUST1233,49,88,99,32,433.77,9.4,0,3560,East,Female,278.784,0.0,118.2,0,Budget Shoppers
CUST1234,50,53,54,50,462.92,8.8,7,18,South,Female,143.1,0.13972055888223553,44.36,1,High Value
CUST1235,18,25,98,33,253.79,7.8,0,4821,South,Male,80.85,0.0,135.42000000000002,2,At-Risk
CUST1236,36,72,55,2,311.0,8.0,3,1473,West,Female,7.92,1.4285714285714286,69.46000000000001,2,At-Risk
CUST1237,19,145,24,33,387.11,6.8,8,4061,North,Female,114.84,0.2416918429003021,115.22,1,High Value
CUST1238,61,62,22,33,103.92,3.0,8,2606,West,Male,45.012,0.2416918429003021,67.12,1,High Value
CUST1239,43,134,69,41,261.23,9.1,4,451,South,Female,379.086,0.097323600973236,54.519999999999996,0,Budget Shoppers
CUST1240,49,130,56,13,211.36,6.9,3,3765,South,Female,94.64,0.22900763358778625,109.8,2,At-Risk
CUST1241,23,99,33,30,90.26,5.8,2,2438,North,Female,98.01,0.06644518272425248,77.75999999999999,1,High Value
